movieId,title,cast_and_crew,year,poster_path,genre
4255,The Party at Kitty and Stud's,"Morton Lewis (director/screenplay); Sylvester Stallone, Henrietta Holm, Jodi Van Prang, Nicholas Warren, Frank Micelli, Barbara Storm, Janet Banzet",1970,/xz4TgIVfWNlCuCdxkYOfSYXhLgx.jpg,"Comedy, Drama"
98348,King of the Grizzlies,"Ron Kelly (director); Jack Speirs, Rod Peterson, Norman Wright (screenplay); John Yesno, Chris Wiggins, Hugh Webster, Jack Van Evera, Big Ted, Winston Hibler",1970,/himI10dGezpxvj3wj5urgywi4xW.jpg,"Family, Adventure"
5227,Hercules in New York,"Arthur Allan Seidelman (director); Aubrey Wisberg (screenplay); Arnold Stang, Arnold Schwarzenegger, Deborah Loomis, James Karen, Ernest Graves, Tanny McDonald, Taina Elg, Michael Lipton, Harold Burstein, George Bartenieff, Rudy Bond, Dan Hamilton, Mark Tendler, Dennis Tinerino, Richard Herd, Tony Carroll, Aubrey Wisberg",1970,/2Rad0CXcWSyjp6vidmz08QriYNZ.jpg,"Comedy, Adventure, Fantasy"
92269,Loving,"Irvin Kershner (director); Don Devlin (screenplay); George Segal, Eva Marie Saint, Sterling Hayden, Keenan Wynn, David Doyle, Paul Sparer, Sherry Lansing, Roland Winters, Edgar Stehli, Diana Douglas, David Ford, John Fink, Ed Crowley, Roy Scheider, Sab Shimono, Betsy von Furstenberg, Nancie Phillips, Janis Young, Andrew Duncan, Calvin Holt, Mina Kolb, James Manis, Mart Hulswit, William Duffy, Irving Selbst, Martin Harvey Friedberg, Lorraine Cullen, Cheryl Bucher, Eileen O'Neill, Diane Davies",1970,/xwMISwAert29Hr8ntky9B80fCez.jpg,"Drama, Romance"
10671,Airport,"George Seaton (director/screenplay); Burt Lancaster, Dean Martin, Jean Seberg, Jacqueline Bisset, George Kennedy, Helen Hayes, Van Heflin, Maureen Stapleton, Barry Nelson, Lloyd Nolan, Dana Wynter, Barbara Hale, Gary Collins, Jessie Royce Landis, Larry Gates, Peter Turgeon, Whit Bissell, Virginia Grey, Paul Picerni, Robert Patten, Clark Howat, Lew Brown, Lisa Gerritsen, James Nolan, Dick Winslow, Lou Wagner, Mary Jackson",1970,/6iOKluJfyiU1SLZbGYrY7Z0i6k0.jpg,"Action, Drama, Thriller"
273554,Skullduggery,"Gordon Douglas (director); Nelson Gidding (screenplay); Burt Reynolds, Susan Clark, Roger C. Carmel, Paul Hubschmid, Chips Rafferty, Alexander Knox, Pat Suzuki, Edward Fox, Wilfrid Hyde-White, William Marshall, Rhys Williams, Michael St. Clair, Booker Bradshaw, James Bacon, Clarence Harris, Newt Arnold, Mike Preece, Saul David, Eddie Fuchs, Mort Marshall, John Kimberley, Gilbert Senior, Burnal ""Custus"" Smith, John Woodcock, Wendell Baggett, Charles Washburn",1970,/7kTFu2xUDT8sQAyA00KTcQ20DpW.jpg,"Adventure, Science Fiction"
34377,The Boys in the Band,"William Friedkin (director); Mart Crowley (screenplay); Kenneth Nelson, Leonard Frey, Cliff Gorman, Laurence Luckinbill, Frederick Combs, Keith Prentice, Robert La Tourneaux, Reuben Greene, Peter White, Maud Adams, Elaine Kaufman",1970,/zgPdZZkM2EVOFlw3e7qEmZv6Po8.jpg,Drama
23330,The Ballad of Cable Hogue,"Sam Peckinpah (director); John Crawford, Edmund Penney (screenplay); Jason Robards, Stella Stevens, David Warner, Strother Martin, Slim Pickens, L.Q. Jones, Peter Whitney, R.G. Armstrong, Gene Evans, William Mims, Kathleen Freeman, Vaughn Taylor, Max Evans, James Anderson, Susan O'Connell, Felix Nelson, Darwin Lamb, Mary Munday, William D. Faralla, Matthew Peckinpah, Easy Pickens",1970,/bEth8XAYaytjzxnHkLkj4nZx2XD.jpg,"Comedy, Western, Action"
95556,The Liberation of L.B. Jones,"William Wyler (director); Jesse Hill Ford, Stirling Silliphant (screenplay); Roscoe Lee Browne, Lee J. Cobb, Lee Majors, Anthony Zerbe, Lola Falana, Arch Johnson, Barbara Hershey, Yaphet Kotto, Chill Wills, Zara Cully, Fayard Nicholas, Joe Attles, Lauren Jones, Dub Taylor, Brenda Sykes, Larry D. Mann, Ray Teal, Eve McVeagh, Jack Grinnage",1970,/nX4cm1sPtXMNC0LdofKADvCYwax.jpg,"Drama, Crime"
31581,Bloody Mama,"Roger Corman (director); Robert Thom (screenplay); Shelley Winters, Pat Hingle, Don Stroud, Diane Varsi, Bruce Dern, Clint Kimbrough, Robert De Niro, Robert Walden, Alex Nicol, Pamela Dunlap, Michael Fox, Scatman Crothers, Stacy Harris",1970,/wVCFfu810n6Tf3Ut7JR4QvnOj6j.jpg,"Crime, Drama"
149320,King: A Filmed Record... Montgomery to Memphis,"Sidney Lumet, Joseph L. Mankiewicz (directors); Harry Belafonte, Ruby Dee, Ben Gazzara, Charlton Heston, James Earl Jones, Burt Lancaster, Paul Newman, Anthony Quinn, Clarence Williams III, Joanne Woodward, Ralph Abernathy, James Baldwin, Tony Bennett, Leonard Bernstein, Marlon Brando, H. Rap Brown, Stokely Carmichael, Diahann Carroll, Wilt Chamberlain",1970,/yenKpaleqf2QBrMxpeYwVO8AJO1.jpg,Documentary
106326,The Adventurers,"Lewis Gilbert (director/screenplay); Michael Hastings (screenplay); Charles Aznavour, Alan Badel, Candice Bergen, Thommy Berggren, Delia Boccardo, Ernest Borgnine, Rossano Brazzi, Olivia de Havilland, Bekim Fehmiu, Anna Moffo",1970,/wDPD4bXra8cpgweYMMJ6XcGB6Vb.jpg,"Drama, Action, Adventure"
9459,Woodstock,"Michael Wadleigh (director); Janis Joplin, Canned Heat, Joan Baez, Joe Cocker, Country Joe & The Fish, Crosby, Stills & Nash, Arlo Guthrie, Richie Havens, Jimi Hendrix, Santana, John Sebastian, Sha-Na-Na, Sly & The Family Stone, Ten Years After, The Who, Jefferson Airplane",1970,/d6CQiqUiELQiO2w854oRq6qMasy.jpg,"Documentary, History, Music"
33157,Waterloo,"Sergei Bondarchuk (director/screenplay); H.A.L. Craig, Vittorio Bonicelli, Mario Soldati (screenplay); Rod Steiger, Christopher Plummer, Orson Welles, Jack Hawkins, Virginia McKenna, Dan O'Herlihy, Serghej Zakhariadze, Ian Ogilvy, Philippe Forquet, Gianni Garko, Ivo Garrani",1970,/tNTLZBn5szEvBRTtkWtAyuFqkDa.jpg,"History, Drama, War"
14801,Colossus: The Forbin Project,"Joseph Sargent (director); James Bridges (screenplay); Eric Braeden, Susan Clark, Gordon Pinsent, William Schallert, Marion Ross, Georg Stanford Brown, Willard Sage, Martin E. Brooks, Dolph Sweet, Byron Morrow, Paul Frees, James Hong, Leonid Rostoff, Alex Rodine, Sid McCoy",1970,/kmVDlTzERxSvBrqtQurjKf1zEy1.jpg,"Science Fiction, Thriller"
