movieId,genre_ids,original_title,title,cast_and_crew,year,poster_path
42594,"[27, 878]",Scream and Scream Again,Scream and Scream Again,"Gordon Hessler (director); Christopher Wicking (screenplay); Vincent Price, Christopher Lee, Peter Cushing, Alfred Marks, Judy Huxtable, Michael Gothard, Anthony Newlands, Kenneth Benda, Uta Levka, Yutte Stensgaard, Julian Holloway, Peter Sallis, Clifford Earl, Nigel Lambert, Amen Corner, David Lodge, Gertan Klauber, Christopher Matthews, Marshall Jones, Judi Bloom, Edgar D. Davies, Rosalind Elliot, Olga Linden, Joe Wadham",1970,/49m9QJ2ubKuVtdDj9B7XqgCyriv.jpg
280133,"[18, 10749]",Jenny,Jenny,"George Bloomfield (director/screenplay); Martin Lavut (screenplay); Marlo Thomas, Alan Alda, Marian Hailey, Phil Bruns, Charlotte Rae, Vincent Gardenia, Elizabeth Wilson, Stephen Strimpell, Fred Willard, Michael Mislove",1970,/iaJ0PyRh17KoMcUlXxTVu6Vi85s.jpg
225155,"[12, 35, 18]",The Adventures of Gerard,The Adventures of Gerard,"Jerzy Skolimowski (director/screenplay); Arthur Conan Doyle, H.A.L. Craig, Gene Gutowski, Charles Wood (screenplay); Peter McEnery, Claudia Cardinale, Eli Wallach, Jack Hawkins, Mark Burns, Norman Rossington, John Neville, Paolo Stoppa, Ivan Desny, Leopoldo Trieste, Solvi Stubing",1970,/aoOV7vWvGiNjaUTHCSIEAeHSvOw.jpg
85255,"[18, 28]",… tick… tick… tick…,...tick...tick...tick...,"Ralph Nelson (director); James Lee Barrett (screenplay); Jim Brown, George Kennedy, Fredric March, Lynn Carlin, Don Stroud, Janet MacLachlan, Richard Elkins, Clifton James, Bob Random, Mills Watson, Bernie Casey, Anthony James, Dub Taylor, Ernest Anderson, Karl Swenson",1970,/rBNgytHXZEXgOl805pYWKiBQe7s.jpg
117999,[18],Last of the Mobile Hot Shots,Last of the Mobile Hot Shots,"Sidney Lumet (director); Gore Vidal (screenplay); James Coburn, Lynn Redgrave, Robert Hooks, Perry Hayes, Reggie King",1970,/xj5Rub6H5B9yMh6GL3oomOM1SLg.jpg
65891,[27],The Dunwich Horror,The Dunwich Horror,"Daniel Haller (director); Curtis Hanson, Henry Rosenbaum, Ronald Silkosky (screenplay); Sandra Dee, Dean Stockwell, Ed Begley, Lloyd Bochner, Sam Jaffe, Talia Shire, Michael Fox, Jason Wingreen, Barboura Morris, Beach Dickerson, Donna Baccala, Joanna Moore Jordan, Jack Pierce",1970,/q2KoYMsXi8LHW3ApNimgzWEx2dP.jpg
84481,"[10749, 18, 35]",The Only Game in Town,The Only Game in Town,"George Stevens (director); Frank D. Gilroy (screenplay); Elizabeth Taylor, Warren Beatty, Hank Henry, Charles Braswell",1970,/2mv5BbmqCNRsYYrEXEUAcWplXrQ.jpg
651,"[35, 18, 10752]",M*A*S*H,M*A*S*H,"Robert Altman (director); Ring Lardner Jr. (screenplay); Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall, Roger Bowen, René Auberjonois, David Arkin, Jo Ann Pflug, John Schuck, Carl Gottlieb, Danny Goldman, Corey Fischer, Indus Arthur, Dawne Damon, Tamara Horrocks, Gary Burghoff, Ken Prymus, Fred Williamson, Michael Murphy, Timothy Brown, Bud Cort, G. Wood, Kim Atwood, Dale Ishimoto, Bobby Troup, Marvin Miller, Ben Davidson",1970,/xZHNAcCVd5gUy68MBc4CmDqmely.jpg
42345,"[18, 36, 53]",The Molly Maguires,The Molly Maguires,"Martin Ritt (director); Walter Bernstein (screenplay); Sean Connery, Richard Harris, Samantha Eggar, Frank Finlay, Anthony Zerbe, Bethel Leslie, Art Lund, Philip Bourneuf, John Alderson, Frances Heflin, Malachy McCourt, Anthony Costello, Brendan Dillon",1970,/oC5HRUjTwooMCIYSPS5biOeWoGK.jpg
45817,"[18, 28, 53]",The Kremlin Letter,The Kremlin Letter,"John Huston (director/screenplay); Gladys Hill (screenplay); Bibi Andersson, Richard Boone, Nigel Green, Dean Jagger, Patrick O'Neal, George Sanders, Max von Sydow, Orson Welles, Barbara Parkins, Micheál MacLíammóir, Ronald Radd, Lila Kedrova, Raf Vallone, Sandor Elès, Vonetta McGee, Anthony Chinn, Niall MacGinnis, Cyril Shaps, John Huston",1970,/wSxhK4AJTupQIiODuhfxR2YqUE.jpg
